class_id,conf_band,slot,slot_assignment_count,slot_unique_detections,slot_images
95,high_conf,left_eye,1564,1564,1564
95,high_conf,left_hand,80217,80217,80217
95,high_conf,mouth,7424,7424,7424
95,high_conf,right_eye,1048,1048,1048
95,high_conf,right_hand,92563,92563,92563
95,high_conf,shoulder,15926,15926,15926
95,high_conf,top_face,53,53,53
95,high_conf,waist,17553,17553,17553
96,high_conf,feet,192,192,192
96,high_conf,left_eye,552,552,552
96,high_conf,left_hand,6305,6305,6305
96,high_conf,mouth,140,140,140
96,high_conf,right_eye,389,389,389
96,high_conf,right_hand,9290,9290,9290
96,high_conf,shoulder,376,376,376
96,high_conf,top_face,82,82,82
96,high_conf,waist,583,583,583
97,high_conf,feet,745,745,745
97,high_conf,left_eye,107,107,107
97,high_conf,left_hand,2013,2013,2013
97,high_conf,mouth,365,365,365
97,high_conf,right_eye,96,96,96
97,high_conf,right_hand,2084,2084,2084
97,high_conf,shoulder,327,327,327
97,high_conf,top_face,37,37,37
97,high_conf,waist,987,987,987
98,high_conf,feet,6,6,6
98,high_conf,left_eye,5,5,5
98,high_conf,left_hand,77,77,77
98,high_conf,mouth,3,3,3
98,high_conf,right_eye,5,5,5
98,high_conf,right_hand,79,79,79
98,high_conf,shoulder,7,7,7
98,high_conf,top_face,3,3,3
98,high_conf,waist,9,9,9
99,high_conf,feet,6,6,6
99,high_conf,left_hand,69,69,69
99,high_conf,mouth,9,9,9
99,high_conf,right_hand,74,74,74
99,high_conf,shoulder,11,11,11
99,high_conf,waist,13,13,13
100,high_conf,feet,4825,4825,4825
100,high_conf,left_eye,902,902,902
100,high_conf,left_hand,9829,9829,9829
100,high_conf,mouth,1424,1424,1424
100,high_conf,right_eye,840,840,840
100,high_conf,right_hand,9923,9923,9923
100,high_conf,shoulder,2099,2099,2099
100,high_conf,top_face,22,22,22
100,high_conf,waist,5759,5759,5759
101,high_conf,feet,199,199,199
101,high_conf,left_eye,26,26,26
101,high_conf,left_hand,844,844,844
101,high_conf,mouth,87,87,87
101,high_conf,right_eye,26,26,26
101,high_conf,right_hand,836,836,836
101,high_conf,shoulder,195,195,195
101,high_conf,top_face,23,23,23
101,high_conf,waist,358,358,358
102,high_conf,feet,25,25,25
102,high_conf,left_eye,7,7,7
102,high_conf,left_hand,80,80,80
102,high_conf,mouth,8,8,8
102,high_conf,right_eye,8,8,8
102,high_conf,right_hand,62,62,62
102,high_conf,shoulder,22,22,22
102,high_conf,top_face,1,1,1
102,high_conf,waist,40,40,40
103,high_conf,feet,209,209,209
103,high_conf,left_eye,32,32,32
103,high_conf,left_hand,1161,1161,1161
103,high_conf,mouth,57,57,57
103,high_conf,right_eye,33,33,33
103,high_conf,right_hand,1207,1207,1207
103,high_conf,shoulder,159,159,159
103,high_conf,top_face,23,23,23
103,high_conf,waist,395,395,395
104,high_conf,feet,9,9,9
104,high_conf,left_eye,1,1,1
104,high_conf,left_hand,93,93,93
104,high_conf,mouth,8,8,8
104,high_conf,right_eye,1,1,1
104,high_conf,right_hand,96,96,96
104,high_conf,shoulder,12,12,12
104,high_conf,top_face,6,6,6
104,high_conf,waist,45,45,45
105,high_conf,feet,82,82,82
105,high_conf,left_eye,10,10,10
105,high_conf,left_hand,509,509,509
105,high_conf,mouth,38,38,38
105,high_conf,right_eye,9,9,9
105,high_conf,right_hand,519,519,519
105,high_conf,shoulder,69,69,69
105,high_conf,top_face,7,7,7
