ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
14,7.0,44.0,0.0,1.0,30.0,3.0,3.0,13.0,3.0,1.0,7.0,0.0,16.0,12.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
16,66.0,32.0,19.0,20.0,53.0,8.0,63.0,15.0,8.0,33.0,28.0,4.0,18.0,35.0,8.0,0.0,0.0
17,3.0,10.0,0.0,0.0,16.0,2.0,2.0,12.0,2.0,0.0,8.0,0.0,8.0,2.0,0.0,0.0,0.0
18,6.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0
19,2.0,5.0,0.0,2.0,4.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
20,30.0,75.0,3.0,1.0,94.0,6.0,11.0,31.0,8.0,13.0,22.0,0.0,25.0,28.0,4.0,0.0,0.0
21,12.0,26.0,2.0,5.0,19.0,5.0,18.0,6.0,5.0,5.0,14.0,0.0,14.0,2.0,1.0,0.0,0.0
22,21.0,24.0,5.0,8.0,29.0,5.0,24.0,4.0,7.0,23.0,10.0,2.0,4.0,16.0,8.0,0.0,0.0
23,50.0,88.0,10.0,10.0,98.0,9.0,38.0,18.0,18.0,18.0,45.0,3.0,36.0,30.0,4.0,0.0,0.0
24,50.0,150.0,3.0,9.0,145.0,7.0,21.0,75.0,21.0,7.0,38.0,1.0,39.0,74.0,2.0,0.0,0.0
25,10.0,17.0,3.0,2.0,15.0,2.0,11.0,3.0,2.0,3.0,10.0,0.0,3.0,2.0,1.0,0.0,0.0
26,1.0,6.0,6.0,1.0,5.0,1.0,17.0,1.0,1.0,3.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0
27,4.0,6.0,0.0,1.0,12.0,3.0,5.0,7.0,0.0,0.0,6.0,0.0,4.0,7.0,0.0,0.0,0.0
28,36.0,73.0,4.0,3.0,92.0,10.0,24.0,30.0,18.0,13.0,25.0,2.0,39.0,31.0,3.0,0.0,0.0
29,2.0,7.0,0.0,0.0,6.0,1.0,7.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
30,28.0,58.0,1.0,1.0,57.0,4.0,14.0,15.0,11.0,5.0,19.0,0.0,18.0,13.0,2.0,0.0,0.0
31,4.0,4.0,5.0,0.0,4.0,0.0,33.0,3.0,0.0,2.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0
32,46.0,129.0,11.0,6.0,116.0,13.0,38.0,58.0,16.0,22.0,38.0,1.0,37.0,69.0,6.0,0.0,0.0
33,25.0,37.0,5.0,3.0,28.0,1.0,10.0,22.0,9.0,2.0,12.0,1.0,6.0,24.0,1.0,0.0,0.0
34,29.0,15.0,8.0,7.0,28.0,11.0,34.0,8.0,5.0,17.0,14.0,3.0,11.0,10.0,7.0,0.0,0.0
35,43.0,57.0,2.0,5.0,67.0,7.0,21.0,22.0,11.0,20.0,28.0,0.0,42.0,19.0,5.0,0.0,0.0
36,12.0,5.0,6.0,12.0,9.0,2.0,17.0,0.0,3.0,5.0,7.0,0.0,3.0,1.0,2.0,0.0,0.0
37,42.0,58.0,12.0,7.0,57.0,13.0,34.0,19.0,7.0,18.0,18.0,2.0,26.0,22.0,7.0,0.0,0.0
38,35.0,140.0,7.0,4.0,118.0,22.0,25.0,53.0,22.0,6.0,50.0,1.0,55.0,38.0,2.0,0.0,0.0
39,4.0,10.0,2.0,2.0,4.0,1.0,33.0,4.0,1.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
40,5.0,3.0,2.0,2.0,5.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0
41,11.0,15.0,2.0,1.0,12.0,0.0,8.0,10.0,1.0,3.0,4.0,0.0,8.0,4.0,0.0,0.0,0.0
42,3.0,9.0,2.0,0.0,14.0,2.0,1.0,3.0,1.0,2.0,6.0,0.0,5.0,3.0,1.0,0.0,0.0
43,45.0,110.0,5.0,1.0,117.0,11.0,27.0,43.0,16.0,12.0,25.0,1.0,20.0,52.0,2.0,0.0,0.0
44,32.0,68.0,6.0,4.0,61.0,9.0,10.0,25.0,17.0,7.0,28.0,0.0,28.0,22.0,5.0,0.0,0.0
45,6.0,6.0,1.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0
46,44.0,37.0,8.0,21.0,47.0,13.0,53.0,16.0,3.0,20.0,27.0,2.0,15.0,26.0,6.0,0.0,0.0
47,12.0,26.0,4.0,0.0,24.0,2.0,8.0,6.0,5.0,2.0,11.0,2.0,13.0,9.0,1.0,0.0,0.0
